sample,iso,elapsed_s,rss_bytes,peak_rss_bytes,handles,threads,cpu_ms,tcp_total,tcp_established,tcp_listen,tcp_close_wait,tcp_time_wait,tcp_other,leech_completed,leech_failed,churn_runs
0,2026-08-22T16:49:53.157Z,0,14405632,14532608,210,29,141,2,1,1,0,0,0,0,0,0
1,2026-08-22T16:50:24.633Z,32,14315520,14532608,208,25,234,2,1,1,0,0,0,2,0,0
2,2026-08-22T16:51:03.188Z,70,14483456,14606336,211,26,281,2,1,1,0,0,0,4,0,0
3,2026-08-22T16:51:42.145Z,109,14614528,14745600,214,27,438,2,1,1,0,0,0,6,0,0
4,2026-08-22T16:52:20.658Z,148,14524416,14745600,211,26,594,2,1,1,0,0,0,8,0,0
5,2026-08-22T16:52:51.221Z,178,14495744,14745600,208,25,766,1,0,1,0,0,0,10,0,0
6,2026-08-22T16:53:21.596Z,209,14794752,14934016,211,26,812,2,1,1,0,0,0,12,0,0
7,2026-08-22T16:53:52.032Z,239,14864384,14950400,211,26,891,2,1,1,0,0,0,14,0,0
8,2026-08-22T16:54:22.483Z,270,14946304,15060992,214,27,1000,2,1,1,0,0,0,16,0,0
9,2026-08-22T16:54:52.943Z,300,15044608,15147008,211,28,1156,2,1,1,0,0,0,18,0,0
10,2026-08-22T16:55:23.460Z,331,15298560,15429632,220,31,1406,3,2,1,0,0,0,20,0,0
11,2026-08-22T16:55:53.958Z,361,15323136,15441920,220,31,1641,2,1,1,0,0,0,22,0,0
12,2026-08-22T16:56:25.377Z,393,15331328,15462400,220,31,1906,1,0,1,0,0,0,24,0,0
13,2026-08-22T16:57:03.545Z,431,15118336,15462400,211,26,2047,2,1,1,0,0,0,26,0,0
14,2026-08-22T16:57:42.556Z,470,15257600,15462400,211,26,2109,2,1,1,0,0,0,28,0,0
15,2026-08-22T16:58:27.268Z,515,14925824,15462400,201,22,2281,2,1,1,0,0,0,30,0,0
16,2026-08-22T16:59:05.237Z,552,15302656,15462400,213,26,2438,2,1,1,0,0,0,32,0,0
17,2026-08-22T16:59:42.249Z,589,15347712,15462400,213,26,2562,2,1,1,0,0,0,34,0,0
18,2026-08-22T17:00:12.785Z,620,15400960,15462400,216,29,2750,2,1,1,0,0,0,36,0,0
19,2026-08-22T17:00:43.265Z,651,15519744,15519744,216,29,2906,2,1,1,0,0,0,38,0,0
20,2026-08-22T17:01:14.849Z,682,15446016,15519744,216,27,3125,2,1,1,0,0,0,40,0,0
21,2026-08-22T17:01:53.775Z,721,15466496,15519744,216,27,3266,2,1,1,0,0,0,42,0,0
22,2026-08-22T17:02:33.894Z,761,15343616,15519744,213,26,3359,2,1,1,0,0,0,44,0,0
23,2026-08-22T17:03:19.954Z,807,15077376,15519744,201,22,3469,2,1,1,0,0,0,46,0,0
24,2026-08-22T17:03:58.661Z,846,15196160,15548416,216,27,3609,2,1,1,0,0,0,48,0,0
25,2026-08-22T17:04:35.971Z,883,15454208,15548416,216,27,3625,2,1,1,0,0,0,50,0,0
26,2026-08-22T17:05:06.381Z,914,15265792,15548416,213,26,3781,2,1,1,0,0,0,52,0,0
27,2026-08-22T17:05:36.771Z,944,15478784,15548416,216,27,3875,2,1,1,0,0,0,54,0,0
28,2026-08-22T17:06:07.248Z,974,15478784,15548416,216,27,4031,2,1,1,0,0,0,56,0,0
29,2026-08-22T17:06:37.686Z,1005,15523840,15548416,216,27,4125,2,1,1,0,0,0,58,0,0
30,2026-08-22T17:07:08.131Z,1035,15171584,15548416,213,26,4219,2,1,1,0,0,0,60,0,0
31,2026-08-22T17:07:38.548Z,1066,15540224,15548416,219,28,4375,2,1,1,0,0,0,62,0,0
32,2026-08-22T17:08:08.955Z,1096,15409152,15548416,213,26,4500,2,1,1,0,0,0,64,0,0
33,2026-08-22T17:08:39.424Z,1127,15413248,15548416,213,26,4719,1,0,1,0,0,0,66,0,0
34,2026-08-22T17:09:09.882Z,1157,15523840,15548416,219,28,4891,2,1,1,0,0,0,68,0,0
35,2026-08-22T17:09:40.322Z,1188,15413248,15548416,213,26,5062,2,1,1,0,0,0,70,0,0
36,2026-08-22T17:10:10.718Z,1218,15872000,15872000,228,31,5234,2,1,1,0,0,0,72,0,0
37,2026-08-22T17:10:41.087Z,1248,15556608,15872000,216,27,5297,2,1,1,0,0,0,74,0,0
38,2026-08-22T17:11:11.475Z,1279,15581184,15872000,216,27,5484,1,0,1,0,0,0,76,0,0
39,2026-08-22T17:11:41.915Z,1309,15564800,15872000,216,27,5609,2,1,1,0,0,0,78,0,0
40,2026-08-22T17:12:12.290Z,1340,15396864,15872000,213,26,5766,2,1,1,0,0,0,80,0,0
41,2026-08-22T17:12:42.788Z,1370,15450112,15872000,216,27,5828,2,1,1,0,0,0,82,0,0
42,2026-08-22T17:13:13.207Z,1400,15491072,15872000,213,26,5969,2,1,1,0,0,0,84,0,0
43,2026-08-22T17:13:43.620Z,1431,15515648,15872000,213,26,6109,2,1,1,0,0,0,86,0,0
44,2026-08-22T17:14:13.987Z,1461,15446016,15872000,210,25,6250,2,1,1,0,0,0,88,0,0
45,2026-08-22T17:14:44.397Z,1492,15482880,15872000,213,26,6469,2,1,1,0,0,0,90,0,0
46,2026-08-22T17:15:14.869Z,1522,15470592,15872000,213,26,6500,2,1,1,0,0,0,92,0,0
47,2026-08-22T17:15:45.314Z,1553,15511552,15872000,213,26,6562,2,1,1,0,0,0,94,0,0
48,2026-08-22T17:16:15.780Z,1583,15708160,15872000,219,28,6750,2,1,1,0,0,0,96,0,0
49,2026-08-22T17:16:46.239Z,1613,15974400,15974400,228,31,6969,2,1,1,0,0,0,98,0,0
50,2026-08-22T17:17:16.749Z,1644,15450112,16068608,210,25,7109,2,1,1,0,0,0,100,0,0
51,2026-08-22T17:17:47.264Z,1674,15675392,16068608,222,29,7250,2,1,1,0,0,0,102,0,0
52,2026-08-22T17:18:17.670Z,1705,15548416,16068608,213,26,7375,2,1,1,0,0,0,104,0,0
53,2026-08-22T17:18:48.085Z,1735,15577088,16068608,213,26,7469,2,1,1,0,0,0,106,0,0
54,2026-08-22T17:19:18.528Z,1766,15552512,16068608,213,26,7625,2,1,1,0,0,0,108,0,0
55,2026-08-22T17:19:48.959Z,1796,15605760,16068608,213,26,7703,3,2,1,0,0,0,110,0,0
56,2026-08-22T17:20:19.522Z,1827,15527936,16068608,210,25,7828,2,1,1,0,0,0,112,0,0
57,2026-08-22T17:20:49.842Z,1857,15765504,16068608,222,29,7953,1,0,1,0,0,0,114,0,0
58,2026-08-22T17:21:20.245Z,1887,15462400,16068608,213,26,8141,2,1,1,0,0,0,116,0,0
59,2026-08-22T17:21:50.749Z,1918,15609856,16068608,213,26,8281,2,1,1,0,0,0,118,0,0
60,2026-08-22T17:22:21.230Z,1948,15478784,16068608,210,25,8406,1,0,1,0,0,0,120,0,0
61,2026-08-22T17:22:51.703Z,1979,15626240,16068608,213,26,8500,1,0,1,0,0,0,122,0,0
62,2026-08-22T17:23:22.198Z,2009,15638528,16068608,213,26,8703,2,1,1,0,0,0,124,0,0
63,2026-08-22T17:23:52.666Z,2040,15929344,16068608,225,30,8875,2,1,1,0,0,0,126,0,0
64,2026-08-22T17:24:23.119Z,2070,15638528,16068608,213,26,9016,1,0,1,0,0,0,128,0,0
65,2026-08-22T17:24:53.580Z,2101,15695872,16068608,216,27,9141,1,0,1,0,0,0,130,0,0
66,2026-08-22T17:25:24.023Z,2131,15515648,16068608,216,27,9297,2,1,1,0,0,0,132,0,0
67,2026-08-22T17:25:54.480Z,2162,15290368,16068608,210,25,9453,2,0,1,0,0,1,134,0,0
68,2026-08-22T17:26:24.927Z,2192,15458304,16068608,213,26,9609,2,1,1,0,0,0,136,0,0
69,2026-08-22T17:26:55.383Z,2223,15794176,16068608,219,28,9750,1,0,1,0,0,0,138,0,0
70,2026-08-22T17:27:25.901Z,2253,15413248,16068608,213,26,9906,2,1,1,0,0,0,140,0,0
71,2026-08-22T17:27:56.477Z,2284,15835136,16068608,222,29,9969,2,1,1,0,0,0,142,0,0
72,2026-08-22T17:28:27.056Z,2314,15745024,16068608,222,29,10062,2,1,1,0,0,0,144,0,0
73,2026-08-22T17:28:57.472Z,2345,15474688,16068608,213,26,10156,2,1,1,0,0,0,146,0,0
74,2026-08-22T17:29:27.928Z,2375,15917056,16068608,222,29,10234,1,0,1,0,0,0,148,0,0
75,2026-08-22T17:29:58.357Z,2406,15699968,16068608,216,27,10516,1,0,1,0,0,0,150,0,0
76,2026-08-22T17:30:29.001Z,2436,18661376,18661376,312,59,10766,2,1,1,0,0,0,152,0,0
77,2026-08-22T17:31:00.638Z,2468,16343040,18661376,234,33,10875,2,1,1,0,0,0,154,0,0
78,2026-08-22T17:31:37.902Z,2505,15618048,18661376,213,26,11047,2,1,1,0,0,0,156,0,0
79,2026-08-22T17:32:16.102Z,2543,16113664,18661376,225,30,11156,2,1,1,0,0,0,158,0,0
80,2026-08-22T17:32:55.440Z,2583,15650816,18661376,216,27,11250,2,1,1,0,0,0,160,0,0
81,2026-08-22T17:33:41.232Z,2628,15413248,18661376,201,22,11406,2,1,1,0,0,0,162,0,0
82,2026-08-22T17:34:20.421Z,2668,15691776,18661376,213,26,11531,2,1,1,0,0,0,164,0,0
83,2026-08-22T17:34:58.502Z,2706,15757312,18661376,216,27,11562,2,1,1,0,0,0,166,0,0
84,2026-08-22T17:35:28.938Z,2736,15867904,18661376,219,28,11656,3,2,1,0,0,0,168,0,0
85,2026-08-22T17:35:59.345Z,2767,15925248,18661376,222,29,11891,1,0,1,0,0,0,170,0,0
86,2026-08-22T17:36:29.720Z,2797,15773696,18661376,216,27,11969,1,0,1,0,0,0,172,0,0
87,2026-08-22T17:37:00.125Z,2827,15699968,18661376,213,26,12109,1,0,1,0,0,0,174,0,0
88,2026-08-22T17:37:30.586Z,2858,16068608,18661376,228,31,12234,1,0,1,0,0,0,176,0,0
89,2026-08-22T17:38:01.003Z,2888,15753216,18661376,213,26,12391,1,0,1,0,0,0,178,0,0
90,2026-08-22T17:38:31.502Z,2919,15667200,18661376,213,26,12516,2,1,1,0,0,0,180,0,0
91,2026-08-22T17:39:01.926Z,2949,15716352,18661376,213,26,12719,1,0,1,0,0,0,182,0,0
92,2026-08-22T17:39:32.429Z,2980,15585280,18661376,213,26,12906,1,0,1,0,0,0,184,0,0
93,2026-08-22T17:40:02.839Z,3010,15728640,18661376,213,26,13000,2,1,1,0,0,0,186,0,0
94,2026-08-22T17:40:33.275Z,3040,15708160,18661376,213,26,13141,3,2,1,0,0,0,188,0,0
95,2026-08-22T17:41:03.713Z,3071,15667200,18661376,210,25,13328,2,1,1,0,0,0,190,0,0
96,2026-08-22T17:41:34.125Z,3101,15646720,18661376,216,27,13547,1,0,1,0,0,0,192,0,0
97,2026-08-22T17:42:04.544Z,3132,15831040,18661376,216,27,13734,2,1,1,0,0,0,194,0,0
98,2026-08-22T17:42:34.964Z,3162,15831040,18661376,219,28,13828,1,0,1,0,0,0,196,0,0
99,2026-08-22T17:43:05.375Z,3193,15716352,18661376,213,26,13953,2,1,1,0,0,0,198,0,0
100,2026-08-22T17:43:35.765Z,3223,15835136,18661376,216,27,14000,2,1,1,0,0,0,200,0,0
101,2026-08-22T17:44:06.161Z,3253,15589376,18661376,213,26,14172,2,1,1,0,0,0,202,0,0
102,2026-08-22T17:44:36.547Z,3284,15622144,18661376,210,25,14297,1,0,1,0,0,0,204,0,0
103,2026-08-22T17:45:06.947Z,3314,15921152,18661376,216,27,14359,1,0,1,0,0,0,206,0,0
104,2026-08-22T17:45:37.394Z,3345,15790080,18661376,216,27,14516,2,1,1,0,0,0,208,0,0
